學校代碼,學校名稱,日間∕進修別,等級別,學生數,縣市名稱
0024,國立屏東科技大學,N 修,4 Bachelor,1569,13 屏東縣
0025,國立臺北科技大學,D 日,Doctor,695,30 臺北市
0025,國立臺北科技大學,D 日,Master,2734,30 臺北市
0025,國立臺北科技大學,D 日,4 Bachelor,5940,30 臺北市
0025,國立臺北科技大學,D 日,2 Bachelor,49,30 臺北市
0025,國立臺北科技大學,N 職,Master,1424,30 臺北市
0025,國立臺北科技大學,N 修,4 Bachelor,1159,30 臺北市
0025,國立臺北科技大學,N 修,2 Bachelor,567,30 臺北市
0026,國立高雄第一科技大學,D 日,Doctor,227,12 高雄市
0026,國立高雄第一科技大學,D 日,Master,1065,12 高雄市
0026,國立高雄第一科技大學,D 日,4 Bachelor,5541,12 高雄市
0026,國立高雄第一科技大學,D 日,2 Bachelor,181,12 高雄市
0026,國立高雄第一科技大學,N 職,Master,716,12 高雄市
0027,國立高雄應用科技大學,D 日,Doctor,276,50 高雄市
0027,國立高雄應用科技大學,D 日,Master,1302,50 高雄市
0027,國立高雄應用科技大學,D 日,4 Bachelor,7428,50 高雄市
0027,國立高雄應用科技大學,D 日,2 Bachelor,104,50 高雄市
0027,國立高雄應用科技大學,N 職,Master,1197,50 高雄市
0027,國立高雄應用科技大學,N 修,4 Bachelor,1263,50 高雄市
0027,國立高雄應用科技大學,N 修,2 Bachelor,449,50 高雄市
0028,國立臺北藝術大學,D 日,Doctor,81,30 臺北市
0028,國立臺北藝術大學,D 日,Master,957,30 臺北市
0028,國立臺北藝術大學,D 日,Bachelor,1756,30 臺北市
0028,國立臺北藝術大學,D 日,others,57,30 臺北市
0028,國立臺北藝術大學,D 日,5 Associate,87,30 臺北市
0028,國立臺北藝術大學,N 職,Master,178,30 臺北市
0029,國立臺灣藝術大學,D 日,Doctor,100,01 新北市
0029,國立臺灣藝術大學,D 日,Master,758,01 新北市
0029,國立臺灣藝術大學,D 日,Bachelor,2424,01 新北市
0029,國立臺灣藝術大學,N 職,Master,461,01 新北市
0029,國立臺灣藝術大學,N 修,2 Bachelor,364,01 新北市
0029,國立臺灣藝術大學,P 進,Bachelor,1575,01 新北市
0030,國立臺東大學,D 日,Doctor,40,14 臺東縣
0030,國立臺東大學,D 日,Master,306,14 臺東縣
0030,國立臺東大學,D 日,Bachelor,3546,14 臺東縣
0030,國立臺東大學,N 職,Master,580,14 臺東縣
0030,國立臺東大學,P 進,Bachelor,175,14 臺東縣
0031,國立宜蘭大學,D 日,Doctor,10,02 宜蘭縣
0031,國立宜蘭大學,D 日,Master,477,02 宜蘭縣
0031,國立宜蘭大學,D 日,Bachelor,4404,02 宜蘭縣
0031,國立宜蘭大學,N 職,Master,198,02 宜蘭縣
0031,國立宜蘭大學,P 進,Bachelor,398,02 宜蘭縣
0032,國立聯合大學,D 日,Doctor,9,05 苗栗縣
0032,國立聯合大學,D 日,Master,418,05 苗栗縣
0032,國立聯合大學,D 日,Bachelor,6125,05 苗栗縣
0032,國立聯合大學,P 進,Bachelor,1323,05 苗栗縣
0033,國立虎尾科技大學,D 日,Doctor,27,09 雲林縣
0033,國立虎尾科技大學,D 日,Master,860,09 雲林縣
0033,國立虎尾科技大學,D 日,4 Bachelor,7316,09 雲林縣
0033,國立虎尾科技大學,D 日,2 Bachelor,170,09 雲林縣
0033,國立虎尾科技大學,N 職,Master,211,09 雲林縣
0033,國立虎尾科技大學,N 修,4 Bachelor,1399,09 雲林縣
0033,國立虎尾科技大學,N 修,2 Bachelor,108,09 雲林縣
0034,國立高雄海洋科技大學,D 日,Doctor,20,50 高雄市
0034,國立高雄海洋科技大學,D 日,Master,338,50 高雄市
0034,國立高雄海洋科技大學,D 日,4 Bachelor,4635,50 高雄市
0034,國立高雄海洋科技大學,D 日,2 Bachelor,221,50 高雄市
0034,國立高雄海洋科技大學,D 日,others,35,50 高雄市
0034,國立高雄海洋科技大學,D 日,5 Associate,516,50 高雄市
0034,國立高雄海洋科技大學,N 職,Master,166,50 高雄市
0034,國立高雄海洋科技大學,N 修,4 Bachelor,1807,50 高雄市
0035,國立臺南藝術大學,D 日,Doctor,35,11 臺南市
0035,國立臺南藝術大學,D 日,Master,534,11 臺南市
0035,國立臺南藝術大學,D 日,Bachelor,755,11 臺南市
0035,國立臺南藝術大學,D 日,5 Associate,162,11 臺南市
0035,國立臺南藝術大學,N 職,Master,43,11 臺南市
0036,國立臺南大學,D 日,Doctor,172,21 臺南市
0036,國立臺南大學,D 日,Master,990,21 臺南市
0036,國立臺南大學,D 日,Bachelor,3900,21 臺南市
0036,國立臺南大學,N 職,Master,697,21 臺南市
0036,國立臺南大學,P 進,Bachelor,120,21 臺南市
0037,國立臺北教育大學,D 日,Doctor,137,30 臺北市
0037,國立臺北教育大學,D 日,Master,1142,30 臺北市
0037,國立臺北教育大學,D 日,Bachelor,3364,30 臺北市
0037,國立臺北教育大學,N 職,Master,1014,30 臺北市
0038,國立清華大學南大校區(原：國立新竹教育大學),D 日,Doctor,91,18 新竹市
0038,國立清華大學南大校區(原：國立新竹教育大學),D 日,Master,788,18 新竹市
0038,國立清華大學南大校區(原：國立新竹教育大學),D 日,Bachelor,2637,18 新竹市
0038,國立清華大學南大校區(原：國立新竹教育大學),N 職,Master,565,18 新竹市
0039,國立臺中教育大學,D 日,Doctor,126,19 臺中市
0039,國立臺中教育大學,D 日,Master,823,19 臺中市
0039,國立臺中教育大學,D 日,Bachelor,3347,19 臺中市
0039,國立臺中教育大學,N 職,Master,725,19 臺中市
0042,國立澎湖科技大學,D 日,Master,79,16 澎湖縣
0042,國立澎湖科技大學,D 日,4 Bachelor,2568,16 澎湖縣
0042,國立澎湖科技大學,N 職,Master,42,16 澎湖縣
0042,國立澎湖科技大學,N 修,4 Bachelor,329,16 澎湖縣
0043,國立勤益科技大學,D 日,Doctor,15,06 臺中市
0043,國立勤益科技大學,D 日,Master,614,06 臺中市
0043,國立勤益科技大學,D 日,4 Bachelor,6686,06 臺中市
0043,國立勤益科技大學,D 日,2 Bachelor,69,06 臺中市
0043,國立勤益科技大學,D 日,2 Associate,1,06 臺中市
0043,國立勤益科技大學,N 職,Master,259,06 臺中市
0043,國立勤益科技大學,N 修,4 Bachelor,3544,06 臺中市
0043,國立勤益科技大學,N 修,2 Bachelor,47,06 臺中市
0044,國立體育大學,D 日,Doctor,134,03 桃園市
0044,國立體育大學,D 日,Master,360,03 桃園市
0044,國立體育大學,D 日,Bachelor,1641,03 桃園市
0044,國立體育大學,N 職,Master,196,03 桃園市
0044,國立體育大學,N 修,others,106,03 桃園市
0046,國立臺北護理健康大學,D 日,Doctor,65,30 臺北市
0046,國立臺北護理健康大學,D 日,Master,565,30 臺北市
0046,國立臺北護理健康大學,D 日,4 Bachelor,2511,30 臺北市
0046,國立臺北護理健康大學,D 日,2 Bachelor,766,30 臺北市
0046,國立臺北護理健康大學,D 日,others,22,30 臺北市
0046,國立臺北護理健康大學,N 職,Master,175,30 臺北市
0046,國立臺北護理健康大學,N 修,2 Bachelor,725,30 臺北市
0047,國立高雄餐旅大學,D 日,Doctor,25,50 高雄市
0047,國立高雄餐旅大學,D 日,Master,173,50 高雄市
0047,國立高雄餐旅大學,D 日,4 Bachelor,3209,50 高雄市
0047,國立高雄餐旅大學,D 日,2 Bachelor,98,50 高雄市
0047,國立高雄餐旅大學,D 日,5 Associate,209,50 高雄市
0047,國立高雄餐旅大學,N 職,Master,74,50 高雄市
0047,國立高雄餐旅大學,N 修,4 Bachelor,928,50 高雄市
0047,國立高雄餐旅大學,N 修,2 Bachelor,298,50 高雄市
0047,國立高雄餐旅大學,N 修,others,41,50 高雄市
0047,國立高雄餐旅大學,N 修,2 Associate,276,50 高雄市
0048,國立金門大學,D 日,Master,201,71 金門縣
0048,國立金門大學,D 日,Bachelor,3416,71 金門縣
0048,國立金門大學,N 職,Master,65,71 金門縣
0048,國立金門大學,P 進,Bachelor,833,71 金門縣
0049,國立臺灣體育運動大學,D 日,Master,274,19 臺中市
0049,國立臺灣體育運動大學,D 日,Bachelor,2403,19 臺中市
0049,國立臺灣體育運動大學,N 職,Master,97,19 臺中市
0049,國立臺灣體育運動大學,P 進,Bachelor,349,19 臺中市
0050,國立臺中科技大學,D 日,Master,384,19 臺中市
0050,國立臺中科技大學,D 日,4 Bachelor,5220,19 臺中市
0050,國立臺中科技大學,D 日,2 Bachelor,1585,19 臺中市
0050,國立臺中科技大學,D 日,2 Associate,2,19 臺中市
0050,國立臺中科技大學,D 日,5 Associate,3687,19 臺中市
0050,國立臺中科技大學,N 職,Master,164,19 臺中市
0050,國立臺中科技大學,N 修,4 Bachelor,2174,19 臺中市
0050,國立臺中科技大學,N 修,2 Bachelor,378,19 臺中市
0050,國立臺中科技大學,N 修,2 Associate,163,19 臺中市
0051,國立臺北商業大學,D 日,Master,151,30 臺北市
0051,國立臺北商業大學,D 日,4 Bachelor,2248,30 臺北市
0051,國立臺北商業大學,D 日,2 Bachelor,788,30 臺北市
0051,國立臺北商業大學,D 日,5 Associate,1985,30 臺北市
0051,國立臺北商業大學,N 職,Master,25,30 臺北市
0051,國立臺北商業大學,N 修,4 Bachelor,660,30 臺北市
0051,國立臺北商業大學,N 修,2 Bachelor,904,30 臺北市
0051,國立臺北商業大學,N 修,others,9,30 臺北市
0051,國立臺北商業大學,N 修,2 Associate,44,30 臺北市
0052,國立屏東大學,D 日,Doctor,47,13 屏東縣
0052,國立屏東大學,D 日,Master,923,13 屏東縣
0052,國立屏東大學,D 日,Bachelor,6741,13 屏東縣
0052,國立屏東大學,N 職,Master,544,13 屏東縣
0052,國立屏東大學,P 進,Bachelor,615,13 屏東縣
0144,國立臺灣戲曲學院,D 日,4 Bachelor,548,30 臺北市
0144,國立臺灣戲曲學院,N 修,4 Bachelor,79,30 臺北市
0221,國立臺南護理專科學校,D 日,2 Associate,97,21 臺南市
0221,國立臺南護理專科學校,D 日,5 Associate,1774,21 臺南市
0221,國立臺南護理專科學校,N 修,2 Associate,73,21 臺南市
0222,國立臺東專科學校,D 日,2 Associate,539,14 臺東縣
0222,國立臺東專科學校,D 日,5 Associate,623,14 臺東縣
0222,國立臺東專科學校,N 修,2 Associate,101,14 臺東縣
1001,東海大學,D 日,Doctor,235,19 臺中市
1001,東海大學,D 日,Master,1383,19 臺中市
1001,東海大學,D 日,Bachelor,13738,19 臺中市
1001,東海大學,N 職,Master,715,19 臺中市
1001,東海大學,P 進,Bachelor,581,19 臺中市
1002,輔仁大學,D 日,Doctor,438,01 新北市
1002,輔仁大學,D 日,Master,2238,01 新北市
1002,輔仁大學,D 日,Bachelor,18281,01 新北市
1002,輔仁大學,N 職,Master,1630,01 新北市
1002,輔仁大學,N 修,2 Bachelor,65,01 新北市
1002,輔仁大學,P 進,Bachelor,4894,01 新北市
1003,東吳大學,D 日,Doctor,116,30 臺北市
1003,東吳大學,D 日,Master,1246,30 臺北市
1003,東吳大學,D 日,Bachelor,12242,30 臺北市
1003,東吳大學,N 職,Master,1157,30 臺北市
1003,東吳大學,P 進,Bachelor,1156,30 臺北市
1004,中原大學,D 日,Doctor,364,03 桃園市
1004,中原大學,D 日,Master,1645,03 桃園市
1004,中原大學,D 日,Bachelor,13459,03 桃園市
1004,中原大學,D 日,others,65,03 桃園市
1004,中原大學,N 職,Master,898,03 桃園市
1005,淡江大學,D 日,Doctor,487,01 新北市
1005,淡江大學,D 日,Master,1892,01 新北市
1005,淡江大學,D 日,Bachelor,21048,01 新北市
1005,淡江大學,N 職,Master,1168,01 新北市
1005,淡江大學,N 修,2 Bachelor,40,01 新北市
1005,淡江大學,P 進,Bachelor,1984,01 新北市
1006,中國文化大學,D 日,Doctor,513,30 臺北市
1006,中國文化大學,D 日,Master,1546,30 臺北市
1006,中國文化大學,D 日,Bachelor,21422,30 臺北市
1006,中國文化大學,N 職,Master,524,30 臺北市
1006,中國文化大學,N 修,2 Bachelor,80,30 臺北市
1006,中國文化大學,P 進,Bachelor,2219,30 臺北市
1007,逢甲大學,D 日,Doctor,425,19 臺中市
1007,逢甲大學,D 日,Master,1675,19 臺中市
1007,逢甲大學,D 日,Bachelor,17041,19 臺中市
1007,逢甲大學,N 職,Master,1104,19 臺中市
1007,逢甲大學,P 進,Bachelor,993,19 臺中市
1008,靜宜大學,D 日,Doctor,39,06 臺中市
1008,靜宜大學,D 日,Master,568,06 臺中市
1008,靜宜大學,D 日,Bachelor,11410,06 臺中市
1008,靜宜大學,N 職,Master,323,06 臺中市
1008,靜宜大學,P 進,Bachelor,10,06 臺中市
1009,長庚大學,D 日,Doctor,558,03 桃園市
1009,長庚大學,D 日,Master,1265,03 桃園市
1009,長庚大學,D 日,Bachelor,5363,03 桃園市
1009,長庚大學,N 職,Master,220,03 桃園市
1010,元智大學,D 日,Doctor,297,03 桃園市
1010,元智大學,D 日,Master,1055,03 桃園市
1010,元智大學,D 日,Bachelor,7247,03 桃園市
1010,元智大學,N 職,Master,765,03 桃園市
1011,中華大學,D 日,Doctor,114,18 新竹市
1011,中華大學,D 日,Master,599,18 新竹市
1011,中華大學,D 日,Bachelor,6337,18 新竹市
1011,中華大學,N 職,Master,257,18 新竹市
1011,中華大學,N 修,2 Bachelor,205,18 新竹市
1011,中華大學,P 進,Bachelor,241,18 新竹市
1012,大葉大學,D 日,Doctor,128,07 彰化縣
1012,大葉大學,D 日,Master,735,07 彰化縣
1012,大葉大學,D 日,Bachelor,9015,07 彰化縣
1012,大葉大學,N 職,Master,459,07 彰化縣
1012,大葉大學,N 修,2 Bachelor,42,07 彰化縣
1012,大葉大學,P 進,Bachelor,1389,07 彰化縣
1013,華梵大學,D 日,Doctor,50,01 新北市
1013,華梵大學,D 日,Master,257,01 新北市
1013,華梵大學,D 日,Bachelor,2243,01 新北市
1013,華梵大學,N 職,Master,196,01 新北市
1014,義守大學,D 日,Doctor,122,12 高雄市
1014,義守大學,D 日,Master,487,12 高雄市
1014,義守大學,D 日,Bachelor,13150,12 高雄市
1014,義守大學,N 職,Master,469,12 高雄市
1014,義守大學,N 修,2 Bachelor,295,12 高雄市
1014,義守大學,P 進,Bachelor,1850,12 高雄市
1015,世新大學,D 日,Doctor,78,30 臺北市
1015,世新大學,D 日,Master,642,30 臺北市
1015,世新大學,D 日,Bachelor,9991,30 臺北市
1015,世新大學,N 職,Master,856,30 臺北市
1015,世新大學,N 修,2 Bachelor,40,30 臺北市
1015,世新大學,P 進,Bachelor,205,30 臺北市
1016,銘傳大學,D 日,Doctor,73,30 臺北市
1016,銘傳大學,D 日,Master,756,30 臺北市
1016,銘傳大學,D 日,Bachelor,17696,30 臺北市
1016,銘傳大學,N 職,Master,824,30 臺北市
1017,實踐大學,D 日,Doctor,20,30 臺北市
1017,實踐大學,D 日,Master,385,30 臺北市
1017,實踐大學,D 日,Bachelor,12404,30 臺北市
1017,實踐大學,N 職,Master,203,30 臺北市
1017,實踐大學,N 修,2 Bachelor,127,30 臺北市
1017,實踐大學,P 進,Bachelor,2321,30 臺北市
1018,朝陽科技大學,D 日,Doctor,88,06 臺中市
1018,朝陽科技大學,D 日,Master,729,06 臺中市
1018,朝陽科技大學,D 日,4 Bachelor,11622,06 臺中市
1018,朝陽科技大學,D 日,2 Bachelor,46,06 臺中市
1018,朝陽科技大學,N 職,Master,454,06 臺中市
1018,朝陽科技大學,N 修,4 Bachelor,3201,06 臺中市
1018,朝陽科技大學,N 修,2 Bachelor,1,06 臺中市
1019,高雄醫學大學,D 日,Doctor,334,50 高雄市
1019,高雄醫學大學,D 日,Master,640,50 高雄市
1019,高雄醫學大學,D 日,Bachelor,5621,50 高雄市
1019,高雄醫學大學,D 日,others,10,50 高雄市
1019,高雄醫學大學,N 職,Master,215,50 高雄市
1019,高雄醫學大學,N 修,2 Bachelor,76,50 高雄市
1020,南華大學,D 日,Doctor,38,10 嘉義縣
1020,南華大學,D 日,Master,638,10 嘉義縣
1020,南華大學,D 日,Bachelor,4242,10 嘉義縣
1020,南華大學,N 職,Master,372,10 嘉義縣
1020,南華大學,P 進,Bachelor,303,10 嘉義縣
1021,真理大學,D 日,Master,182,01 新北市
1021,真理大學,D 日,Bachelor,7170,01 新北市
1021,真理大學,N 職,Master,14,01 新北市
1021,真理大學,P 進,Bachelor,356,01 新北市
1022,大同大學,D 日,Doctor,121,30 臺北市
1022,大同大學,D 日,Master,408,30 臺北市
1022,大同大學,D 日,Bachelor,3770,30 臺北市
1022,大同大學,N 職,Master,368,30 臺北市
1023,南臺科技大學,D 日,Doctor,82,11 臺南市
1023,南臺科技大學,D 日,Master,904,11 臺南市
1023,南臺科技大學,D 日,4 Bachelor,13068,11 臺南市
1023,南臺科技大學,D 日,2 Bachelor,251,11 臺南市
1023,南臺科技大學,N 職,Master,440,11 臺南市
1023,南臺科技大學,N 修,4 Bachelor,4225,11 臺南市
1023,南臺科技大學,N 修,2 Bachelor,165,11 臺南市
1024,崑山科技大學,D 日,Doctor,35,11 臺南市
1024,崑山科技大學,D 日,Master,417,11 臺南市
1024,崑山科技大學,D 日,4 Bachelor,8393,11 臺南市
1024,崑山科技大學,D 日,2 Bachelor,10,11 臺南市
1024,崑山科技大學,N 職,Master,168,11 臺南市
1024,崑山科技大學,N 修,4 Bachelor,3268,11 臺南市
1024,崑山科技大學,N 修,2 Bachelor,196,11 臺南市
1025,嘉南藥理大學,D 日,Master,282,11 臺南市
1025,嘉南藥理大學,D 日,4 Bachelor,12598,11 臺南市
1025,嘉南藥理大學,D 日,2 Bachelor,206,11 臺南市
1025,嘉南藥理大學,N 職,Master,224,11 臺南市
1025,嘉南藥理大學,N 修,4 Bachelor,2725,11 臺南市
1025,嘉南藥理大學,N 修,2 Bachelor,234,11 臺南市
1025,嘉南藥理大學,N 修,others,17,11 臺南市
1026,樹德科技大學,D 日,Doctor,28,12 高雄市
1026,樹德科技大學,D 日,Master,316,12 高雄市
1026,樹德科技大學,D 日,4 Bachelor,8231,12 高雄市
1026,樹德科技大學,D 日,2 Bachelor,19,12 高雄市
1026,樹德科技大學,N 職,Master,410,12 高雄市
1026,樹德科技大學,N 修,4 Bachelor,1593,12 高雄市
1026,樹德科技大學,N 修,2 Bachelor,360,12 高雄市
1027,慈濟大學,D 日,Doctor,117,15 花蓮縣
1027,慈濟大學,D 日,Master,332,15 花蓮縣
1027,慈濟大學,D 日,Bachelor,2983,15 花蓮縣
1027,慈濟大學,N 職,Master,28,15 花蓮縣
1028,臺北醫學大學,D 日,Doctor,437,30 臺北市
1028,臺北醫學大學,D 日,Master,614,30 臺北市
1028,臺北醫學大學,D 日,Bachelor,4636,30 臺北市
1028,臺北醫學大學,D 日,others,25,30 臺北市
1028,臺北醫學大學,N 職,Master,260,30 臺北市
1028,臺北醫學大學,N 修,2 Bachelor,1,30 臺北市
1029,中山醫學大學,D 日,Doctor,211,19 臺中市
1029,中山醫學大學,D 日,Master,477,19 臺中市
1029,中山醫學大學,D 日,Bachelor,6377,19 臺中市
1029,中山醫學大學,N 職,Master,140,19 臺中市
1029,中山醫學大學,N 修,2 Bachelor,121,19 臺中市
1029,中山醫學大學,P 進,Bachelor,59,19 臺中市
1030,龍華科技大學,D 日,Master,279,03 桃園市
1030,龍華科技大學,D 日,4 Bachelor,6631,03 桃園市
1030,龍華科技大學,D 日,2 Bachelor,11,03 桃園市
1030,龍華科技大學,D 日,2 Associate,7,03 桃園市
1030,龍華科技大學,D 日,5 Associate,87,03 桃園市
1030,龍華科技大學,N 職,Master,176,03 桃園市
1030,龍華科技大學,N 修,4 Bachelor,3809,03 桃園市
1030,龍華科技大學,N 修,2 Bachelor,105,03 桃園市
1031,輔英科技大學,D 日,Master,109,12 高雄市
1031,輔英科技大學,D 日,4 Bachelor,3849,12 高雄市
1031,輔英科技大學,D 日,2 Bachelor,1476,12 高雄市
1031,輔英科技大學,D 日,5 Associate,2774,12 高雄市
1031,輔英科技大學,N 職,Master,55,12 高雄市
1031,輔英科技大學,N 修,4 Bachelor,502,12 高雄市
1031,輔英科技大學,N 修,2 Bachelor,589,12 高雄市
1032,明新科技大學,D 日,Master,350,04 新竹縣
1032,明新科技大學,D 日,4 Bachelor,8496,04 新竹縣
1032,明新科技大學,N 職,Master,248,04 新竹縣
1032,明新科技大學,N 修,4 Bachelor,3592,04 新竹縣
1032,明新科技大學,N 修,2 Bachelor,93,04 新竹縣
1032,明新科技大學,N 修,2 Associate,25,04 新竹縣
1033,長榮大學,D 日,Doctor,40,11 臺南市
1033,長榮大學,D 日,Master,414,11 臺南市
1033,長榮大學,D 日,Bachelor,9149,11 臺南市
1033,長榮大學,N 職,Master,146,11 臺南市
1033,長榮大學,N 修,2 Bachelor,1,11 臺南市
1033,長榮大學,P 進,Bachelor,534,11 臺南市
1034,弘光科技大學,D 日,Doctor,3,06 臺中市
1034,弘光科技大學,D 日,Master,212,06 臺中市
1034,弘光科技大學,D 日,4 Bachelor,7456,06 臺中市
1034,弘光科技大學,D 日,2 Bachelor,716,06 臺中市
1034,弘光科技大學,D 日,5 Associate,264,06 臺中市
1034,弘光科技大學,N 職,Master,98,06 臺中市
1034,弘光科技大學,N 修,4 Bachelor,3289,06 臺中市
1034,弘光科技大學,N 修,2 Bachelor,991,06 臺中市
1034,弘光科技大學,N 修,2 Associate,71,06 臺中市
1035,中國醫藥大學,D 日,Doctor,361,19 臺中市
1035,中國醫藥大學,D 日,Master,522,19 臺中市
1035,中國醫藥大學,D 日,Bachelor,6380,19 臺中市
1035,中國醫藥大學,N 職,Master,69,19 臺中市
1035,中國醫藥大學,N 修,2 Bachelor,78,19 臺中市
1036,健行科技大學,D 日,Master,307,03 桃園市
1036,健行科技大學,D 日,4 Bachelor,7287,03 桃園市
